state_code,state,district_number,district_code,dem_candidate,rep_candidate,dem_votes,rep_votes,dem_per,rep_per,winner
AL,Alabama,01,AL01,None,Josiah Robins Bonner,0.0,196374.0,0.0,97.85624588889551,Republican
AL,Alabama,02,AL02,Therese Ford,Martha Roby,103092.0,180591.0,36.30600838871222,63.59890545266295,Republican
AL,Alabama,03,AL03,John Andrew Harris,Mike Rogers,98141.0,175306.0,35.82703610411419,63.99664147774979,Republican
AL,Alabama,04,AL04,Daniel H. Boman,Robert B. Aderholt,69706.0,199071.0,25.901649090733432,73.97164069293024,Republican
AL,Alabama,05,AL05,Charlie L. Holley,Mo Brooks,101772.0,189185.0,34.93801773472071,64.94663448829873,Republican
AL,Alabama,06,AL06,Penny Huggins Bailey,Spencer Bachus,88267.0,219262.0,28.64862935002045,71.16539327884921,Republican
AL,Alabama,07,AL07,Terri A. Sewell,Donald N. Chamberlain,232520.0,73835.0,75.84861592259867,24.085164960627356,Democrat
AK,Alaska,01,AK01,Sharon M. Cissna,Don Young,82927.0,185296.0,28.61485693779244,63.93838594360326,Republican
AZ,Arizona,01,AZ01,Ann Kirkpatrick,Jonathan Paton,122774.0,113594.0,48.79826705618156,45.14954589717602,Democrat
AZ,Arizona,02,AZ02,Ron Barber,Martha McSally,147338.0,144884.0,50.41005340787398,49.57044467785917,Democrat
AZ,Arizona,03,AZ03,Raúl Grijalva,Gabriela Saucedo Mercer,98468.0,62663.0,58.369393828024045,37.14507581595514,Democrat
AZ,Arizona,04,AZ04,Johnnie Robinson,Paul Gosar,69154.0,162907.0,28.369707909419105,66.83089924515917,Republican
AZ,Arizona,05,AZ05,Spencer Morgan,Matt Salmon,89589.0,183470.0,32.809392841840044,67.19060715815995,Republican
AZ,Arizona,06,AZ06,Matthew Jette,David Schweikert,97666.0,179706.0,33.31298157768175,61.29607711382543,Republican
AZ,Arizona,07,AZ07,Ed Pastor,None,104489.0,0.0,81.74251136301407,0.0,Democrat
