state_code,state,district_number,district_code,dem_candidate,rep_candidate,dem_votes,rep_votes,dem_per,rep_per,winner
AL,Alabama,01,AL01,Vivian Sheffield Beckerle,Josiah Robins Bonner,52770.0,112944.0,31.819634469160217,68.10378615661989,Republican
AL,Alabama,02,AL02,Charles D James,Terry Everett,54450.0,124302.0,30.432765664909823,69.47389600880845,Republican
AL,Alabama,03,AL03,Greg A. Pierce,Mike Rogers,63559.0,98257.0,38.45046309459713,59.44126169835633,Republican
AL,Alabama,04,AL04,Barbara Bobo,Robert B. Aderholt,54382.0,128484.0,29.70525257822059,70.18222338751966,Republican
AL,Alabama,05,AL05,Robert E. Cramer,None,143015.0,0.0,98.25495517158464,0.0,Democrat
AL,Alabama,06,AL06,None,Spencer Bachus,0.0,163514.0,0.0,98.32471437161756,Republican
AL,Alabama,07,AL07,Artur Davis,None,133870.0,0.0,99.04264449113668,0.0,Democrat
AK,Alaska,01,AK01,Diane Benson,Don Young,93879.0,132743.0,40.00894968995717,56.5718425706919,Republican
AZ,Arizona,01,AZ01,Ellen S. Simon,Richard Renzi,88691.0,105646.0,43.44637722336252,51.75199251490405,Republican
AZ,Arizona,02,AZ02,John A. Thrasher,Trent Franks,89671.0,135150.0,38.8926960444136,58.61814712005552,Republican
AZ,Arizona,03,AZ03,Herb Paine,John B. Shadegg,72586.0,112519.0,38.23354350036081,59.26762848368967,Republican
AZ,Arizona,04,AZ04,Ed Pastor,Don J. Karg,56464.0,18627.0,72.51897612411862,23.923401959902904,Democrat
AZ,Arizona,05,AZ05,Harry E. Mitchell,J.D. Hayworth,101838.0,93815.0,50.41235582396912,46.44077025889807,Democrat
AZ,Arizona,06,AZ06,None,Jeff Flake,0.0,152201.0,0.0,74.79679191688862,Republican
AZ,Arizona,07,AZ07,Raúl Grijalva,Ron Drake,80354.0,46498.0,61.09408857631629,35.35297471963505,Democrat
AZ,Arizona,08,AZ08,Gabrielle Giffords,Randy J. Graf,137655.0,106790.0,54.25469020967997,42.08970518682011,Democrat
AR,Arkansas,01,AR01,Robert Marion Berry,Mickey D. Stumbaugh,127577.0,56611.0,69.26455577996396,30.73544422003605,Democrat
AR,Arkansas,02,AR02,Victor F. Snyder,Andy Mayberry,124871.0,81432.0,60.52796129964179,39.47203870035821,Democrat
AR,Arkansas,03,AR03,Woodrow Anderson,John Boozman,75885.0,125039.0,37.76801178555076,62.23198821444924,Republican
AR,Arkansas,04,AR04,Michael Avery Ross,Joe C. Ross,128236.0,43360.0,74.73134571901443,25.26865428098557,Democrat
CA,California,01,CA01,Mike Thompson,John W. Jones,144409.0,63194.0,66.22929317018583,28.982223771348902,Democrat
CA,California,10,CA10,Ellen O. Tauscher,Darcy Pearl Linn,130859.0,66069.0,66.43330727289342,33.541309181736025,Democrat
CA,California,11,CA11,Jerry McNerney,Richard W. Pombo,109868.0,96396.0,53.26571772097894,46.73428227902106,Democrat
