state_code,state,seat_class,special,candidate_name,party_code,party_name,ranked_choice_round,votes,percent,winner
AK,Alaska,Class II,False,Ted Stevens,REP,Republican,None,179438.0,78.1701430637601,True
AK,Alaska,Class II,False,Frank J. Vondersaar,DEM,Democratic,None,24133.0,10.513269555822747,False
AK,Alaska,Class II,False,Jim Sykes,GRE,Green,None,16608.0,7.235088086151915,False
AK,Alaska,Class II,False,Jim Dore,AKI,Alaskan Independence,None,6724.0,2.929234844128461,False
AK,Alaska,Class II,False,Leonard J. Karpinski,LIB,Libertarian,None,2354.0,1.025493578685068,False
AK,Alaska,Class II,False,None,W,Write-In,None,291.0,0.1267708714517225,False
AL,Alabama,Class II,False,Jeff Sessions,REP,Republican,None,792561.0,58.57705301388077,True
AL,Alabama,Class II,False,Susan Parker,DEM,Democratic,None,538878.0,39.82770433318576,False
AL,Alabama,Class II,False,Jeff Allen,LIB,Libertarian,None,20234.0,1.49546607855151,False
AL,Alabama,Class II,False,None,W,Write-In,None,1350.0,0.099776574381958,False
AR,Arkansas,Class II,False,Mark L. Pryor,DEM,Democratic,None,433386.0,53.895620186514215,True
AR,Arkansas,Class II,False,Tim Hutchinson,REP,Republican,None,370735.0,46.10437981348578,False
CO,Colorado,Class II,False,Wayne A. Allard,REP,Republican,None,717893.0,50.69572242285404,True
CO,Colorado,Class II,False,Tom Strickland,DEM,Democratic,None,648130.0,45.76924217665361,False
CO,Colorado,Class II,False,Douglas Campbell,ACP,American Constitution,None,21547.0,1.521592676130337,False
CO,Colorado,Class II,False,Rick Stanley,LIB,Libertarian,None,20776.0,1.4671466765342684,False
CO,Colorado,Class II,False,John J. Heckman,CPC,Conservative,None,7140.0,0.5042080896445262,False
CO,Colorado,Class II,False,Gary Cooper,W,Write-In,None,596.0,0.0420879581832125,False
DE,Delaware,Class II,False,Joe Biden,DEM,Democratic,None,135253.0,58.21990926074193,True
DE,Delaware,Class II,False,Raymond J. Clatworthy,REP,Republican,None,94793.0,40.80382585638403,False
DE,Delaware,Class II,False,Maurice J. Barros,IDE,Independent Democrat,None,996.0,0.4287300808388646,False
DE,Delaware,Class II,False,Raymond T. Buranello,LIB,Libertarian,None,922.0,0.3968766410978245,False
DE,Delaware,Class II,False,Robert E. Mattson,NLP,Natural Law,None,350.0,0.150658160937352,False
GA,Georgia,Class II,False,Saxby Chambliss,REP,Republican,None,1071352.0,52.73429270664952,True
GA,Georgia,Class II,False,Max Cleland,DEM,Democratic,None,932422.0,45.89585371952408,False
GA,Georgia,Class II,False,Claude Thomas,LIB,Libertarian,None,27830.0,1.3698535738263953,False
IA,Iowa,Class II,False,Tom Harkin,DEM,Democratic,None,554278.0,54.17765070986975,True
IA,Iowa,Class II,False,Greg Ganske,REP,Republican,None,447892.0,43.77899958458569,False
IA,Iowa,Class II,False,Timothy A. Harthan,GRE,Green,None,11340.0,1.108423136133715,False
IA,Iowa,Class II,False,Richard J. Moore,LIB,Libertarian,None,8864.0,0.8664076436233903,False
IA,Iowa,Class II,False,None,W,Write-In,None,701.0,0.0685189257874544,False
ID,Idaho,Class II,False,Larry E. Craig,REP,Republican,None,266215.0,65.16189198715439,True
ID,Idaho,Class II,False,Alan Blinken,DEM,Democratic,None,132975.0,32.54851374637738,False
ID,Idaho,Class II,False,Donovan Bramwell,LIB,Libertarian,None,9354.0,2.2895942664682383,False
IL,Illinois,Class II,False,Richard J. Durbin,DEM,Democratic,None,2103766.0,60.334267222774926,True
IL,Illinois,Class II,False,Jim Durkin,REP,Republican,None,1325703.0,38.02006452240144,False
IL,Illinois,Class II,False,Steven Burgauer,LIB,Libertarian,None,57382.0,1.6456682548236217,False
KS,Kansas,Class II,False,Pat Roberts,REP,Republican,None,641075.0,82.52236596511553,True
KS,Kansas,Class II,False,Steven A. Rosile,LIB,Libertarian,None,70725.0,9.104074145587951,False
KS,Kansas,Class II,False,George H. Cook,REF,Reform,None,65050.0,8.373559889296518,False
KY,Kentucky,Class II,False,Mitch McConnell,REP,Republican,None,731679.0,64.67520482837199,True
KY,Kentucky,Class II,False,Lois Combs Weinberg,DEM,Democratic,None,399634.0,35.32479517162801,False
LA,Louisiana,Class II,False,Mary L. Landrieu,DEM,Democratic,None,1212001.0,97.70319668357442,True
LA,Louisiana,Class II,False,Suzanne Haik Terrell,REP,Republican,None,936148.0,75.53990929211585,False
LA,Louisiana,Class II,False,John C. Cooksey,REP,Republican,None,171752.0,13.780586729228869,False
LA,Louisiana,Class II,False,Anthony Richard Perkins,REP,Republican,None,119776.0,9.61027269598093,False
LA,Louisiana,Class II,False,Raymond Brown,DEM,Democratic,None,23553.0,1.8897838699609173,False
LA,Louisiana,Class II,False,Patrick E. Landry,OTH,Other,None,10442.0,0.8378178223636861,False
LA,Louisiana,Class II,False,James Lemann,OTH,Other,None,3866.0,0.3101899733056895,False
LA,Louisiana,Class II,False,Gary D. Robbins,OTH,Other,None,2423.0,0.1944103221209741,False
LA,Louisiana,Class II,False,Ernest Edward Skillman,REP,Republican,None,1668.0,0.1338326113486524,False
MA,Massachusetts,Class II,False,John Kerry,DEM,Democratic,None,1605976.0,72.33145415869289,True
MA,Massachusetts,Class II,False,Michael E. Cloud,LIB,Libertarian,None,369807.0,16.65571469814228,False
MA,Massachusetts,Class II,False,None,W,Write-In,None,219620.0,9.891451654527922,False
MA,Massachusetts,Class II,False,Randall Forsberg,W,Write-In,None,24898.0,1.121379488636901,False
ME,Maine,Class II,False,Susan M. Collins,REP,Republican,None,295041.0,58.43564752554471,True
ME,Maine,Class II,False,Chellie Pingree,DEM,Democratic,None,209858.0,41.56435247445528,False
MI,Michigan,Class II,False,Carl Levin,DEM,Democratic,None,1896614.0,60.60850283147566,True
MI,Michigan,Class II,False,Andrew Rocky Raczkowski,REP,Republican,None,1185545.0,37.88546720067543,False
MI,Michigan,Class II,False,Eric J. Borregard,GRE,Green,None,23931.0,0.7647428951067767,False
MI,Michigan,Class II,False,John S. Mangopoulos,REF,Reform,None,12831.0,0.4100295051236911,False
MI,Michigan,Class II,False,Doug Dern,NLP,Natural Law,None,10366.0,0.3312575676184383,False
MN,Minnesota,Class II,False,Norm Coleman,REP,Republican,None,1116697.0,49.52886027430555,True
MN,Minnesota,Class II,False,Walter F. Mondale,DEM,Democratic,None,1067246.0,47.33556014954057,False
MN,Minnesota,Class II,False,Jim R.C. Moore,IDP,Independence,None,45139.0,2.0020499955868765,False
MN,Minnesota,Class II,False,Paul Wellstone,DEM,Democratic,None,11381.0,0.5047814749944448,False
MN,Minnesota,Class II,False,Raymond Tricomo,GRE,Green,None,10119.0,0.448807990991019,False
MN,Minnesota,Class II,False,Miro Drago Kovatchevitch,CON,Constitution,None,2254.0,0.0999716584340109,False
MN,Minnesota,Class II,False,None,W,Write-In,None,1790.0,0.0793918671680921,False
MN,Minnesota,Class II,False,Ed McGaa,W,Write-In,None,7.0,0.0003104709889254,False
MN,Minnesota,Class II,False,Michelle Harbeck,W,Write-In,None,3.0,0.0001330589952537,False
MN,Minnesota,Class II,False,Richard Franson,W,Write-In,None,3.0,0.0001330589952537,False
MO,Missouri,Class I,True,Jim Talent,REP,Republican,None,935032.0,49.79878782714288,True
MO,Missouri,Class I,True,Jean Carnahan,DEM,Democratic,None,913778.0,48.66682289281111,False
MO,Missouri,Class I,True,Tamara A. Millay,LIB,Libertarian,None,18345.0,0.9770347567665448,False
MO,Missouri,Class I,True,Daniel Romano,GRE,Green,None,10465.0,0.5573545232794708,False
