state_code,state,district,district_code,dem_votes,gop_votes,other_votes,total_votes,winner,flip,representative
AL,Alabama,01,AL01,70929,258619,306,329854,Republican,FALSE,Barry Moore
AL,Alabama,02,AL02,158041,131414,219,289674,Democratic,TRUE,Shomari Figures
AL,Alabama,03,AL03,0,243848,5160,249008,Republican,FALSE,Mike Rogers
AL,Alabama,04,AL04,0,274498,3374,277872,Republican,FALSE,Robert Aderholt
AL,Alabama,05,AL05,0,250322,12088,262410,Republican,FALSE,Dale Strong
AL,Alabama,06,AL06,102504,243741,380,346625,Republican,FALSE,Gary Palmer
AL,Alabama,07,AL07,186723,106312,185,293220,Democratic,FALSE,Terri Sewell
AK,Alaska,00,AK00,156985,164861,0,321846,Republican,TRUE,Nick Begich III
AZ,Arizona,01,AZ01,208966,225538,0,434504,Republican,FALSE,David Schweikert
AZ,Arizona,02,AZ02,184963,221413,55,406431,Republican,FALSE,Eli Crane
AZ,Arizona,03,AZ03,143336,53705,5024,202065,Democratic,FALSE,Yassamin Ansari
AZ,Arizona,04,AZ04,176428,152052,6065,334545,Democratic,FALSE,Greg Stanton
AZ,Arizona,05,AZ05,167680,255628,0,423308,Republican,FALSE,Andy Biggs
AZ,Arizona,06,AZ06,204774,215596,10850,431220,Republican,FALSE,Juan Ciscomani
AZ,Arizona,07,AZ07,171954,99057,0,271011,Democratic,FALSE,Raúl Grijalva
AZ,Arizona,08,AZ08,160344,208269,0,368613,Republican,FALSE,Abraham Hamadeh
AZ,Arizona,09,AZ09,132640,249583,0,382223,Republican,FALSE,Paul Gosar
AR,Arkansas,01,AR01,63917,194435,8337,266689,Republican,FALSE,Rick Crawford
AR,Arkansas,02,AR02,125777,180509,0,306286,Republican,FALSE,French Hill
AR,Arkansas,03,AR03,95652,192101,13331,301084,Republican,FALSE,Steve Womack	
AR,Arkansas,04,AR04,73207,197046,0,270253,Republican,FALSE,Bruce Westerman
CA,California,01,CA01,208592,110636,0,319228,Democratic,FALSE,Doug LaMalfa
CA,California,02,CA02,272883,106734,0,379617,Democratic,FALSE,Jared Huffman
CA,California,03,CA03,234246,188067,0,422313,Democratic,FALSE,Kevin Kiley
CA,California,04,CA04,227730,114950,0,342680,Democratic,FALSE,Mike Thompson
CA,California,05,CA05,140919,227643,0,368562,Republican,FALSE,Tom McClintock
CA,California,06,CA06,165408,121664,0,287072,Democratic,FALSE,Ami Bera
CA,California,07,CA07,197429,98341,0,295770,Democratic,FALSE,Doris Matsui
CA,California,08,CA08,201962,71068,0,273030,Democratic,FALSE,John Garamendi
CA,California,09,CA09,130183,121174,0,251357,Democratic,FALSE,Josh Harder 
CA,California,10,CA10,242325,122219,0,364544,Democratic,FALSE,Mark DeSaulnier
CA,California,11,CA11,274796,64315,0,339111,Democratic,FALSE,Nancy Pelosi 
CA,California,12,CA12,283025,0,0,283025,Democratic,FALSE,Lateefah Simon
CA,California,13,CA13,105554,105367,0,210921,Democratic,TRUE,John Duarte
CA,California,14,CA14,187263,89125,0,276388,Democratic,FALSE,Eric Swalwell
CA,California,15,CA15,211648,77896,0,289544,Democratic,FALSE,Kevin Mullin
CA,California,16,CA16,308476,0,0,308476,Democratic,FALSE,Sam Liccardo
CA,California,17,CA17,172462,82415,0,254877,Democratic,FALSE,Ro Khanna
CA,California,18,CA18,147674,80832,0,228506,Democratic,FALSE,Zoe Lofgren
CA,California,19,CA19,252458,111862,0,364320,Democratic,FALSE,Jimmy Panetta
CA,California,20,CA20,0,288788,0,288788,Republican,FALSE,Vince Fong 
CA,California,21,CA21,102798,92733,0,195531,Democratic,FALSE,Jim Costa
CA,California,22,CA22,78023,89484,0,"167,507",Republican,FALSE,David Valadao
CA,California,23,CA23,105563,159286,0,264849,Republican,FALSE,Jay Obernolte
CA,California,24,CA24,214724,127755,0,342479,Democratic,FALSE,Salud Carbajal
CA,California,25,CA25,137837,107194,0,245031,Democratic,FALSE,Raul Ruiz
CA,California,26,CA26,187393,146913,0,334306,Democratic,FALSE,Julia Brownley
CA,California,27,CA27,154040,146050,0,300090,Democratic,TRUE,George Whitesides	
CA,California,28,CA28,204489,110455,0,314944,Democratic,FALSE,Judy Chu
CA,California,29,CA29,146312,63374,0,209686,Democratic,FALSE,Luz Rivas
CA,California,30,CA30,213100,98559,0,311659,Democratic,FALSE,Laura Friedman
CA,California,31,CA31,148095,99856,0,247951,Democratic,FALSE,Gil Cisneros
CA,California,32,CA32,212934,108711,0,321645,Democratic,FALSE,Brad Sherman
CA,California,33,CA33,137197,96078,0,233275,Democratic,FALSE,Pete Aguilar
CA,California,34,CA34,189414,0,0,189414,Democratic,FALSE,Jimmy Gomez
CA,California,35,CA35,136413,97142,0,233555,Democratic,FALSE,Norma Torres
CA,California,36,CA36,246002,111985,0,357987,Democratic,FALSE,Ted Lieu
CA,California,37,CA37,160364,0,44450,204814,Democratic,FALSE,Sydney Kamlager-Dove
CA,California,38,CA38,165110,110818,0,275928,Democratic,FALSE,Linda Sánchez
CA,California,39,CA39,130191,99469,0,229660,Democratic,FALSE,Mark Takano
CA,California,40,CA40,171637,211998,0,383635,Republican,FALSE,Young Kim
CA,California,41,CA41,171229,183216,0,354445,Republican,FALSE,Ken Calvert
CA,California,42,CA42,159153,74410,0,233563,Democratic,FALSE,Robert Garcia
CA,California,43,CA43,160080,53152,0,213232,Democratic,FALSE,Maxine Waters
CA,California,44,CA44,164765,66087,0,230852,Democratic,FALSE,Nanette Barragán
CA,California,45,CA45,158264,157611,0,315875,Democratic,TRUE,Derek Tran
CA,California,46,CA46,134013,77279,0,211292,Democratic,FALSE,Lou Correa
CA,California,47,CA47,181721,171554,0,353275,Democratic,FALSE,Dave Min
CA,California,48,CA48,146665,213625,0,360290,Republican,FALSE,Darrell Issa
CA,California,49,CA49,197397,180950,0,378347,Democratic,FALSE,Mike Levin
CA,California,50,CA50,231836,128859,0,360695,Democratic,FALSE,Scott Peters
CA,California,51,CA51,198835,128749,0,327584,Democratic,FALSE,Sara Jacobs
CA,California,52,CA52,172217,87501,0,259718,Democratic,FALSE,Juan Vargas
CO,Colorado,01,CO01,264606,74598,6531,345735,Democratic,FALSE,Diana DeGette
CO,Colorado,02,CO02,284994,120633,11281,416908,Democratic,FALSE,Joe Neguse
CO,Colorado,03,CO03,182147,201951,13455,397553,Republican,FALSE,Jeff Hurd
CO,Colorado,04,CO04,188249,240213,19345,447807,Republican,FALSE,Lauren Boebert
CO,Colorado,05,CO05,147972,197924,16189,362085,Republican,FALSE,Jeff Crank
CO,Colorado,06,CO06,202686,132174,8861,343721,Democratic,FALSE,Jason Crow
CO,Colorado,07,CO07,235688,175273,15005,425966,Democratic,FALSE,Brittany Pettersen
CO,Colorado,08,CO08,160871,163320,9425,333616,Republican,FALSE,Gabe Evans
CT,Connecticut,01,CT01,197788,115065,17629,330482,Democratic,FALSE,John Larson
CT,Connecticut,02,CT02,218162,157878,7,376047,Democratic,FALSE,Joe Courtney
CT,Connecticut,03,CT03,193684,130095,5144,328923,Democratic,FALSE,Rosa DeLauro
CT,Connecticut,04,CT04,200791,122793,5273,328857,Democratic,FALSE,Jim Himes
CT,Connecticut,05,CT05,171337,157258,9010,337605,Democratic,FALSE,Jahana Hayes
DE,Delaware,00,DE00,287830,209606,0,497436,Democratic,FALSE,Sarah McBride
FL,Florida,01,FL01,140980,274108,0,415088,Republican,FALSE,Matt Gaetz
FL,Florida,02,FL02,154323,247957,0,402280,Republican,FALSE,Neal Dunn
